id;servicenumber;statuscode;created;msgid;put;reasoncode;route;direction
35;8899-9300120-040204-00000093/18;1010;2018-11-12 12:37:34.737701;414d512047553031514d2020202020200133e55be09e8c24;2018-11-12 12:37:27.200000;;true;out
36;8899-9300120-040204-00000094/18;1010;2018-11-12 12:37:37.440522;414d512047553031514d2020202020200133e55be69e8c24;2018-11-12 12:37:34.400000;;true;out
37;8899-9300120-040204-00000095/18;1010;2018-11-12 12:37:41.125571;414d512047553031514d2020202020200133e55bec9e8c24;2018-11-12 12:37:37.120000;;true;out
38;8899-9300120-040204-00000090/18;1010;2018-11-12 12:38:08.442179;414d512047553031514d2020202020200133e55bf29e8c24;2018-11-12 12:37:40.770000;;true;out
39;0001-9300120-040204-00000096/18;1010;2018-11-12 12:46:34.885934;414d512047553031514d2020202020200133e55bf89e8c24;2018-11-12 12:46:27.030000;;true;out
40;8899-9300120-040204-00000097/18;1010;2018-11-12 12:48:02.370697;414d512047553031514d2020202020200133e55bfe9e8c24;2018-11-12 12:47:34.660000;;true;out
41;8899-9300120-040204-00000098/18;1010;2018-11-12 12:48:10.732749;414d512047553031514d2020202020200133e55b06079824;2018-11-12 12:48:01.150000;;true;out
42;8899-9300120-040204-00000099/18;1010;2018-11-12 12:48:34.061709;414d512047553031514d2020202020200133e55b0c079824;2018-11-12 12:48:10.160000;;true;out
43;8899-9300120-040204-00000100/18;1010;2018-11-12 12:48:42.523064;414d512047553031514d2020202020200133e55b12079824;2018-11-12 12:48:33.680000;;true;out
44;8899-9300120-040204-00000101/18;1010;2018-11-12 12:49:03.317423;414d512047553031514d2020202020200133e55b18079824;2018-11-12 12:48:58.560000;;true;out
45;8899-9300120-040204-00000102/18;1010;2018-11-12 12:49:34.118650;414d512047553031514d2020202020200133e55b1e079824;2018-11-12 12:49:02.460000;;true;out
46;8899-9300120-040204-00000103/18;1010;2018-11-12 12:50:03.248264;414d512047553031514d2020202020200133e55b24079824;2018-11-12 12:49:45.580000;;true;out
47;8899-9300120-040204-00000104/18;1010;2018-11-12 12:50:21.348067;414d512047553031514d2020202020200133e55b2a079824;2018-11-12 12:50:02.450000;;true;out
48;8899-9300120-040204-00000105/18;1010;2018-11-12 12:50:47.713806;414d512047553031514d2020202020200133e55b30079824;2018-11-12 12:50:20.980000;;true;out
49;8899-9300120-040204-00000106/18;1010;2018-11-12 12:51:07.338179;414d512047553031514d2020202020200133e55b36079824;2018-11-12 12:50:47.180000;;true;out
50;8899-9300120-040204-00000107/18;1010;2018-11-12 12:51:19.540830;414d512047553031514d2020202020200133e55b3c079824;2018-11-12 12:51:06.620000;;true;out
51;8899-9300120-040204-00000108/18;1010;2018-11-12 12:51:23.056996;414d512047553031514d2020202020200133e55b42079824;2018-11-12 12:51:19.210000;;true;out
52;8899-9300120-040204-00000109/18;1010;2018-11-12 12:51:50.860009;414d512047553031514d2020202020200133e55b48079824;2018-11-12 12:51:22.470000;;true;out
53;8899-9300120-040204-00000110/18;1010;2018-11-12 12:52:31.780057;414d512047553031514d2020202020200133e55b4e079824;2018-11-12 12:51:50.380000;;true;out
54;8899-9300120-040204-00000111/18;1010;2018-11-12 12:52:35.813534;414d512047553031514d2020202020200133e55b54079824;2018-11-12 12:52:31.090000;;true;out
55;8899-9300120-040204-00000112/18;1010;2018-11-12 12:52:39.056066;414d512047553031514d2020202020200133e55b5a079824;2018-11-12 12:52:33.770000;;true;out
56;8899-9300120-040204-00000113/18;1010;2018-11-12 12:52:47.194007;414d512047553031514d2020202020200133e55b60079824;2018-11-12 12:52:38.300000;;true;out
57;8899-9300120-040204-00000114/18;1010;2018-11-12 12:54:40.493166;414d512047553031514d2020202020200133e55b66079824;2018-11-12 12:54:32.830000;;true;out
58;8899-9300120-040204-00000115/18;1010;2018-11-12 12:55:37.814108;414d512047553031514d2020202020200133e55b6c079824;2018-11-12 12:54:39.660000;;true;out
59;8899-9300120-040204-00000116/18;1010;2018-11-12 12:55:51.729771;414d512047553031514d2020202020200133e55b72079824;2018-11-12 12:55:36.190000;;true;out
60;8899-9300120-040204-00000117/18;1010;2018-11-12 12:56:31.389425;414d512047553031514d2020202020200133e55b78079824;2018-11-12 12:55:51.130000;;true;out
61;8899-9300120-040204-00000118/18;1010;2018-11-12 12:57:10.024544;414d512047553031514d2020202020200133e55b7e079824;2018-11-12 12:56:30.670000;;true;out
62;8899-9300120-040204-00000119/18;1010;2018-11-12 12:57:57.362802;414d512047553031514d2020202020200133e55b84079824;2018-11-12 12:57:09.380000;;true;out
63;0001-9300120-040204-00000048/18;1068;2018-11-12 14:51:56.535461;313534323032303039323037382d313a323a31303a313a32;2018-11-12 14:51:27.550000;;true;inc
64;0001-9300120-040204-00000120/18;1010;2018-11-12 14:52:26.107720;414d512047553031514d2020202020200133e55b8a079824;2018-11-12 14:51:55.490000;;true;out
65;0001-9300120-040204-00000121/18;1010;2018-11-12 14:57:19.363249;414d512047553031514d2020202020200133e55b90079824;2018-11-12 14:56:44.910000;;true;out
66;8899-9300120-040204-00000122/18;1010;2018-11-12 15:19:43.623606;414d512047553031514d2020202020200133e55b96079824;2018-11-12 15:19:06.990000;;true;out
67;8899-9300120-040204-00000130/18;1010;2018-11-12 15:26:27.936758;414d512047553031514d2020202020200133e55b9c079824;2018-11-12 15:25:20.590000;;true;out
68;8899-9300120-040204-00000131/18;1010;2018-11-12 15:27:40.186910;414d512047553031514d2020202020200133e55ba2079824;2018-11-12 15:26:27.180000;;true;out
69;8899-9300120-040204-00000125/18;1010;2018-11-12 15:28:41.471616;414d512047553031514d2020202020200133e55ba8079824;2018-11-12 15:27:34.230000;;true;out
70;8899-9300120-040204-00000127/18;1010;2018-11-12 15:29:23.322890;414d512047553031514d2020202020200133e55bae079824;2018-11-12 15:28:39.270000;;true;out
71;8899-9300120-040204-00000128/18;1010;2018-11-12 15:30:15.976204;414d512047553031514d2020202020200133e55bb4079824;2018-11-12 15:29:21.220000;;true;out
72;8899-9300120-040204-00000123/18;1010;2018-11-12 15:31:10.476144;414d512047553031514d2020202020200133e55bba079824;2018-11-12 15:30:09.020000;;true;out
73;8899-9300120-040204-00000132/18;1010;2018-11-12 15:31:47.361677;414d512047553031514d2020202020200133e55bc0079824;2018-11-12 15:31:08.220000;;true;out
74;8899-9300120-040204-00000129/18;1010;2018-11-12 15:32:22.235714;414d512047553031514d2020202020200133e55bc6079824;2018-11-12 15:31:42.190000;;true;out
75;8899-9300120-040204-00000124/18;1010;2018-11-12 15:32:50.567539;414d512047553031514d2020202020200133e55bcc079824;2018-11-12 15:32:20.620000;;true;out
76;8899-9300120-040204-00000126/18;1010;2018-11-12 15:33:47.116601;414d512047553031514d2020202020200133e55bd2079824;2018-11-12 15:32:49.770000;;true;out
77;8899-9300120-040204-00000141/18;1010;2018-11-12 15:34:53.878603;414d512047553031514d2020202020200133e55bd8079824;2018-11-12 15:33:46.580000;;true;out
78;8899-9300120-040204-00000142/18;1010;2018-11-12 15:52:19.541485;414d512047553031514d2020202020200133e55bde079824;2018-11-12 15:51:52.700000;;true;out
79;8899-9300120-040204-00000135/18;1010;2018-11-12 15:53:13.725038;414d512047553031514d2020202020200133e55be4079824;2018-11-12 15:52:18.230000;;true;out
80;8899-9300120-040204-00000137/18;1010;2018-11-12 15:53:53.549080;414d512047553031514d2020202020200133e55bea079824;2018-11-12 15:53:11.100000;;true;out
81;8899-9300120-040204-00000139/18;1010;2018-11-12 15:54:32.978553;414d512047553031514d2020202020200133e55bf0079824;2018-11-12 15:53:51.650000;;true;out
82;8899-9300120-040204-00000133/18;1010;2018-11-12 15:55:26.080286;414d512047553031514d2020202020200133e55bf6079824;2018-11-12 15:54:32.130000;;true;out
83;8899-9300120-040204-00000143/18;1010;2018-11-12 15:56:16.197283;414d512047553031514d2020202020200133e55bfc079824;2018-11-12 15:55:23.870000;;true;out
84;8899-9300120-040204-00000140/18;1010;2018-11-12 15:56:48.046875;414d512047553031514d2020202020200133e55b069acd24;2018-11-12 15:56:15.360000;;true;out
85;8899-9300120-040204-00000134/18;1010;2018-11-12 15:57:18.982529;414d512047553031514d2020202020200133e55b0c9acd24;2018-11-12 15:56:45.580000;;true;out
86;8899-9300120-040204-00000181/18;1010;2018-11-12 16:32:21.371853;414d512047553031514d2020202020200133e55b129acd24;2018-11-12 16:31:45.050000;;true;out
87;8899-9300120-040204-00000164/18;1010;2018-11-12 16:33:34.571921;414d512047553031514d2020202020200133e55b189acd24;2018-11-12 16:32:19.930000;;true;out
88;8899-9300120-040204-00000175/18;1010;2018-11-12 16:34:27.613164;414d512047553031514d2020202020200133e55b1e9acd24;2018-11-12 16:33:33.780000;;true;out
89;8899-9300120-040204-00000161/18;1010;2018-11-12 16:35:48.496434;414d512047553031514d2020202020200133e55b249acd24;2018-11-12 16:34:24.980000;;true;out
90;8899-9300120-040204-00000173/18;1010;2018-11-12 16:36:48.981353;414d512047553031514d2020202020200133e55b2a9acd24;2018-11-12 16:35:47.800000;;true;out
91;8899-9300120-040204-00000149/18;1010;2018-11-12 16:37:50.304736;414d512047553031514d2020202020200133e55b309acd24;2018-11-12 16:36:47.600000;;true;out
92;8899-9300120-040204-00000191/18;1010;2018-11-12 16:39:17.864541;414d512047553031514d2020202020200133e55b369acd24;2018-11-12 16:37:49.420000;;true;out
93;8899-9300120-040204-00000196/18;1010;2018-11-12 16:40:27.029316;414d512047553031514d2020202020200133e55b3c9acd24;2018-11-12 16:39:13.680000;;true;out
94;0001-9300120-040204-00000203/18;1010;2018-11-12 16:42:17.742742;414d512047553031514d2020202020200133e55b429acd24;2018-11-12 16:40:25.260000;;true;out
95;8899-9300120-040204-00000187/18;1010;2018-11-12 16:43:06.807075;414d512047553031514d2020202020200133e55b489acd24;2018-11-12 16:42:16.710000;;true;out
96;0001-9300120-040204-00000213/18;1010;2018-11-12 16:44:59.296166;414d512047553031514d2020202020200133e55b4e9acd24;2018-11-12 16:43:05.860000;;true;out
97;0001-9300120-040204-00000215/18;1010;2018-11-12 16:47:04.449514;414d512047553031514d2020202020200133e55b549acd24;2018-11-12 16:46:13.630000;;true;out
98;0001-9300120-040204-00000205/18;1010;2018-11-12 16:53:20.112972;414d512047553031514d2020202020200133e55b5c9acd24;2018-11-12 16:52:38.120000;;true;out
99;8899-9300120-040204-00000150/18;1010;2018-11-12 16:55:06.084082;414d512047553031514d2020202020200133e55b629acd24;2018-11-12 16:53:19.130000;;true;out
100;0001-9300120-040204-00000211/18;1010;2018-11-12 16:56:56.558213;414d512047553031514d2020202020200133e55b689acd24;2018-11-12 16:56:40.800000;;true;out
101;8899-9300120-040204-00000177/18;1010;2018-11-12 16:57:22.610312;414d512047553031514d2020202020200133e55b6e9acd24;2018-11-12 16:56:56.280000;;true;out
102;0001-9300120-040204-00000210/18;1010;2018-11-12 16:58:54.938985;414d512047553031514d2020202020200133e55b749acd24;2018-11-12 16:57:21.900000;;true;out
103;0001-9300120-040204-00000224/18;1010;2018-11-12 16:59:19.328719;414d512047553031514d2020202020200133e55b7a9acd24;2018-11-12 16:59:03.750000;;true;out
104;8899-9300120-040204-00000194/18;1010;2018-11-12 16:59:29.510554;414d512047553031514d2020202020200133e55b809acd24;2018-11-12 16:59:17.630000;;true;out
105;8899-9300120-040204-00000154/18;1010;2018-11-12 16:59:51.745799;414d512047553031514d2020202020200133e55b869acd24;2018-11-12 16:59:29.050000;;true;out
106;0001-9300120-040204-00000220/18;1010;2018-11-12 16:59:58.603846;414d512047553031514d2020202020200133e55b8c9acd24;2018-11-12 16:59:51.260000;;true;out
107;8899-9300120-040204-00000192/18;1010;2018-11-12 17:00:16.247634;414d512047553031514d2020202020200133e55b929acd24;2018-11-12 17:00:00.780000;;true;out
108;0001-9300120-040204-00000207/18;1010;2018-11-12 17:00:32.352481;414d512047553031514d2020202020200133e55b989acd24;2018-11-12 17:00:15.850000;;true;out
14293;0001-9300120-040204-00000006/20;1010;2020-11-11 17:11:18.697744;414d512047553031514d20202020202029dda65f04ad0520;2020-11-11 17:10:57.840000;;true;out
14294;0001-9300120-040204-00000007/20;1010;2020-11-11 17:11:51.776172;414d512047553031514d20202020202029dda65f0ead0520;2020-11-11 17:11:50.240000;;true;out
14295;8899-9300120-040206-00000131/19;10190;2020-11-25 17:31:38.130895;414d512047553031514d202020202020a0d3b35f77b6ae25;2020-11-25 17:31:23.270000;;true;out
14297;8899-9300120-040206-00000131/19;1080;2020-11-25 17:31:41.595433;414d512047553031514d202020202020a0d3b35f79b6ae25;2020-11-25 17:31:23.500000;;true;out
14299;8899-9300120-066201-00000147/19;1077;2020-11-25 17:31:42.233469;414d512047553031514d202020202020a0d3b35f7bb6ae25;2020-11-25 17:31:23.720000;1;true;out
14301;8899-9300120-066201-00000135/19;10191;2020-11-25 17:31:42.487149;414d512047553031514d202020202020a0d3b35f7db6ae25;2020-11-25 17:31:23.870000;;true;out
14303;8899-9300120-066201-00000132/19;1077;2020-11-25 17:31:42.879850;414d512047553031514d202020202020a0d3b35f7fb6ae25;2020-11-25 17:31:24.030000;1;true;out
14305;8899-9300120-066201-00000130/19;10191;2020-11-25 17:31:43.078501;414d512047553031514d202020202020a0d3b35f81b6ae25;2020-11-25 17:31:24.550000;;true;out
14307;0001-9300120-066201-00000127/19;1077;2020-11-25 17:31:43.440354;414d512047553031514d202020202020a0d3b35f83b6ae25;2020-11-25 17:31:24.760000;1;true;out
14309;0001-9300120-040206-00000136/18;1077;2020-11-25 17:31:43.672579;414d512047553031514d202020202020a0d3b35f85b6ae25;2020-11-25 17:31:25.560000;1;true;out
14311;8899-9300120-040205-00000301/18;1077;2020-11-25 17:31:43.930366;414d512047553031514d202020202020a0d3b35f87b6ae25;2020-11-25 17:31:26.290000;1;true;out
14313;8899-9300120-040204-00000877/18;1077;2020-11-25 17:31:44.165041;414d512047553031514d202020202020a0d3b35f89b6ae25;2020-11-25 17:31:26.470000;1;true;out
14315;8899-9300120-040205-00000049/18;10190;2020-11-25 17:31:44.340161;414d512047553031514d202020202020a0d3b35f8bb6ae25;2020-11-25 17:31:26.660000;;true;out
14317;8899-9300120-040205-00000049/18;1080;2020-11-25 17:31:44.540360;414d512047553031514d202020202020a0d3b35f8db6ae25;2020-11-25 17:31:26.850000;;true;out
14319;8899-9300120-040204-00000785/18;10190;2020-11-25 17:31:44.607398;414d512047553031514d202020202020a0d3b35f8fb6ae25;2020-11-25 17:31:27.010000;;true;out
14321;8899-9300120-040204-00000785/18;1080;2020-11-25 17:31:44.716168;414d512047553031514d202020202020a0d3b35f91b6ae25;2020-11-25 17:31:27.270000;;true;out
14323;8899-9300120-040204-00000684/18;10191;2020-11-25 17:31:44.883183;414d512047553031514d202020202020a0d3b35f93b6ae25;2020-11-25 17:31:27.460000;;true;out
14325;8899-9300120-040205-00000049/18;1080;2020-11-25 17:31:45.143420;414d512047553031514d202020202020a0d3b35f95b6ae25;2020-11-25 17:31:27.630000;;true;out
14327;8899-9300120-040204-00000679/18;10191;2020-11-25 17:31:45.333530;414d512047553031514d202020202020a0d3b35f97b6ae25;2020-11-25 17:31:27.810000;;true;out
14329;8899-9300120-040205-00000046/18;1077;2020-11-25 17:31:45.416933;414d512047553031514d202020202020a0d3b35f99b6ae25;2020-11-25 17:31:27.980000;1;true;out
14331;8899-9300120-040204-00000666/18;10191;2020-11-25 17:31:45.588068;414d512047553031514d202020202020a0d3b35f9bb6ae25;2020-11-25 17:31:28.270000;;true;out
14333;8899-9300120-040204-00000658/18;1077;2020-11-25 17:31:45.809870;414d512047553031514d202020202020a0d3b35f9db6ae25;2020-11-25 17:31:28.420000;1;true;out
14335;8899-9300120-040204-00000550/18;10191;2020-11-25 17:31:46.049475;414d512047553031514d202020202020a0d3b35f9fb6ae25;2020-11-25 17:31:28.600000;;true;out
14337;8899-9300120-040204-00000549/18;10190;2020-11-25 17:31:46.251490;414d512047553031514d202020202020a0d3b35fa1b6ae25;2020-11-25 17:31:28.760000;;true;out
14339;8899-9300120-040204-00000549/18;1080;2020-11-25 17:31:46.343424;414d512047553031514d202020202020a0d3b35fa3b6ae25;2020-11-25 17:31:28.920000;;true;out
14341;8899-9300120-040204-00000174/19;1040;2020-11-25 17:31:46.602500;414d512047553031514d202020202020a0d3b35fa5b6ae25;2020-11-25 17:31:29.150000;;true;out
14343;8899-9300120-040204-00000175/19;1040;2020-11-25 17:31:46.727429;414d512047553031514d202020202020a0d3b35fa7b6ae25;2020-11-25 17:31:29.320000;;true;out
14345;8899-9300120-040204-00000176/19;1040;2020-11-25 17:31:46.962149;414d512047553031514d202020202020a0d3b35fa9b6ae25;2020-11-25 17:31:29.480000;;true;out
14347;8899-9300120-040204-00000176/19;1035;2020-11-25 17:31:47.295397;414d512047553031514d202020202020a0d3b35fabb6ae25;2020-11-25 17:31:29.620000;;true;out
14349;8899-9300120-040205-00000007/19;1035;2020-11-25 17:31:48.092897;414d512047553031514d202020202020a0d3b35fadb6ae25;2020-11-25 17:31:29.810000;;true;out
14351;8899-9300120-040205-00000008/19;1035;2020-11-25 17:31:49.853585;414d512047553031514d202020202020a0d3b35fafb6ae25;2020-11-25 17:31:30.100000;;true;out
14353;8899-9300120-040204-00000177/19;1035;2020-11-25 17:31:50.128435;414d512047553031514d202020202020a0d3b35fb1b6ae25;2020-11-25 17:31:30.270000;;true;out
14355;8899-9300120-040206-00000133/19;1040;2020-11-25 17:31:50.316309;414d512047553031514d202020202020a0d3b35fb3b6ae25;2020-11-25 17:31:30.420000;;true;out
14357;8899-9300120-040206-10000132/19;1035;2020-11-25 17:31:50.657062;414d512047553031514d202020202020a0d3b35fb5b6ae25;2020-11-25 17:31:30.650000;;true;out
14359;8899-9300120-040204-00000178/19;1035;2020-11-25 17:31:50.714905;414d512047553031514d202020202020a0d3b35fb7b6ae25;2020-11-25 17:31:30.800000;;true;out
14361;8899-9300120-040206-00000134/19;1035;2020-11-25 17:31:50.939590;414d512047553031514d202020202020a0d3b35fb9b6ae25;2020-11-25 17:31:30.940000;;true;out
14363;8899-9300120-040206-00000135/19;1040;2020-11-25 17:31:51.022562;414d512047553031514d202020202020a0d3b35fbbb6ae25;2020-11-25 17:31:31.190000;;true;out
14365;8899-9300120-040206-00000136/19;1035;2020-11-25 17:31:51.278918;414d512047553031514d202020202020a0d3b35fbdb6ae25;2020-11-25 17:31:31.360000;;true;out
14367;8899-9300120-040206-00000135/19;1035;2020-11-25 17:31:51.428162;414d512047553031514d202020202020a0d3b35fbfb6ae25;2020-11-25 17:31:31.510000;;true;out
14369;8899-9300120-040206-00000138/19;1040;2020-11-25 17:31:51.565372;414d512047553031514d202020202020a0d3b35fc1b6ae25;2020-11-25 17:31:31.680000;;true;out
14371;8899-9300120-040204-00000179/19;1040;2020-11-25 17:31:51.807445;414d512047553031514d202020202020a0d3b35fc3b6ae25;2020-11-25 17:31:31.850000;;true;out
14373;8899-9300120-040205-00000010/19;1040;2020-11-25 17:31:51.950301;414d512047553031514d202020202020a0d3b35fc5b6ae25;2020-11-25 17:31:32.060000;;true;out
14375;8899-9300120-040206-00000139/19;1040;2020-11-25 17:31:52.117808;414d512047553031514d202020202020a0d3b35fc7b6ae25;2020-11-25 17:31:32.220000;;true;out
14377;8899-9300120-040206-00000140/19;1040;2020-11-25 17:31:52.302571;414d512047553031514d202020202020a0d3b35fc9b6ae25;2020-11-25 17:31:32.390000;;true;out
14379;8899-9300120-040206-00000141/19;1040;2020-11-25 17:31:52.834886;414d512047553031514d202020202020a0d3b35fcbb6ae25;2020-11-25 17:31:32.580000;;true;out
14381;8899-9300120-040204-00000180/19;1040;2020-11-25 17:31:53.026954;414d512047553031514d202020202020a0d3b35fcdb6ae25;2020-11-25 17:31:32.730000;;true;out
14383;8899-9300120-040205-00000011/19;1040;2020-11-25 17:31:53.185114;414d512047553031514d202020202020a0d3b35fcfb6ae25;2020-11-25 17:31:32.990000;;true;out
14385;8899-9300120-040206-00000142/19;1040;2020-11-25 17:31:53.452015;414d512047553031514d202020202020a0d3b35fd1b6ae25;2020-11-25 17:31:33.160000;;true;out
109;8899-9300120-040204-00000136/18;1010;2018-11-12 17:00:57.316918;414d512047553031514d2020202020200133e55b9e9acd24;2018-11-12 17:00:31.890000;;true;out
110;8899-9300120-040204-00000172/18;1010;2018-11-12 17:01:08.164387;414d512047553031514d2020202020200133e55ba49acd24;2018-11-12 17:00:56.840000;;true;out
111;0001-9300120-040204-00000218/18;1010;2018-11-12 17:01:19.289661;414d512047553031514d2020202020200133e55baa9acd24;2018-11-12 17:01:06.670000;;true;out
112;8899-9300120-040204-00000195/18;1010;2018-11-12 17:01:33.247318;414d512047553031514d2020202020200133e55bb09acd24;2018-11-12 17:01:18.820000;;true;out
113;8899-9300120-040204-00000159/18;1010;2018-11-12 17:01:55.165935;414d512047553031514d2020202020200133e55bb69acd24;2018-11-12 17:01:32.810000;;true;out
114;8899-9300120-040204-00000185/18;1010;2018-11-12 17:02:18.905700;414d512047553031514d2020202020200133e55bbc9acd24;2018-11-12 17:01:54.700000;;true;out
115;0001-9300120-040204-00000221/18;1010;2018-11-12 17:02:30.333144;414d512047553031514d2020202020200133e55bc29acd24;2018-11-12 17:02:17.450000;;true;out
116;0001-9300120-040204-00000197/18;1010;2018-11-12 17:02:36.192279;414d512047553031514d2020202020200133e55bc89acd24;2018-11-12 17:02:26.260000;;true;out
117;8899-9300120-040204-00000158/18;1010;2018-11-12 17:03:16.721736;414d512047553031514d2020202020200133e55bce9acd24;2018-11-12 17:02:35.300000;;true;out
118;0001-9300120-040204-00000217/18;1010;2018-11-12 17:03:48.483925;414d512047553031514d2020202020200133e55bd49acd24;2018-11-12 17:03:15.510000;;true;out
119;8899-9300120-040204-00000162/18;1010;2018-11-12 17:03:57.080929;414d512047553031514d2020202020200133e55bda9acd24;2018-11-12 17:03:46.230000;;true;out
120;0001-9300120-040204-00000222/18;1010;2018-11-12 17:04:03.989438;414d512047553031514d2020202020200133e55be09acd24;2018-11-12 17:03:56.250000;;true;out
121;8899-9300120-040204-00000144/18;1010;2018-11-12 17:04:18.366296;414d512047553031514d2020202020200133e55be69acd24;2018-11-12 17:04:03.320000;;true;out
